Country Code,Country Name,Region,Income Group,Indicator Code,Indicator Short,Indicator Type,Year,Value
ARG,Argentina,Latin America & Caribbean,Upper middle income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,62.1397809619075
ARG,Argentina,Latin America & Caribbean,Upper middle income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,47.0
ARG,Argentina,Latin America & Caribbean,Upper middle income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,2.80556
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,113.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,2.22222
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,121.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,2.11111
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,140.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,2.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,118.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.CUST.XQ,Customs Score,Score,2007,2.1
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,122.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,2.625
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,131.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,2.13681872715438
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,35.6332001065406
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,143.0
ARM,Armenia,Europe & Central Asia,Lower middle income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,1.77778
AUS,Australia,East Asia & Pacific,High income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,12.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,3.96875
AUS,Australia,East Asia & Pacific,High income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,19.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,3.75758
AUS,Australia,East Asia & Pacific,High income,LP.LPI.ITRN.RK,LP.LPI.ITRN.RK,Rank,2007,12.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.ITRN.XQ,Int. Shipments Score,Score,2007,3.71875
AUS,Australia,East Asia & Pacific,High income,LP.LPI.CUST.RK,LP.LPI.CUST.RK,Rank,2007,17.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.CUST.XQ,Customs Score,Score,2007,3.58333
AUS,Australia,East Asia & Pacific,High income,LP.LPI.TIME.RK,LP.LPI.TIME.RK,Rank,2007,20.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.TIME.XQ,Timeliness Score,Score,2007,4.1
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.RK,LPI Overall Rank,Rank,2007,17.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.RK.LB,LP.LPI.OVRL.RK.LB,Rank,2007,
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.RK.UB,LP.LPI.OVRL.RK.UB,Rank,2007,
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.XQ,LPI Overall Score,Score,2007,3.79033926812148
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.XQ.LB,LP.LPI.OVRL.XQ.LB,Rank,2007,
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.XQ.UB,LP.LPI.OVRL.XQ.UB,Rank,2007,
AUS,Australia,East Asia & Pacific,High income,LP.LPI.OVRL.RK.ZS,LP.LPI.OVRL.RK.ZS,Rank,2007,87.4622445347945
AUS,Australia,East Asia & Pacific,High income,LP.LPI.INFR.RK,LP.LPI.INFR.RK,Rank,2007,20.0
AUS,Australia,East Asia & Pacific,High income,LP.LPI.INFR.XQ,Infrastructure Score,Score,2007,3.64706
AUT,Austria,Europe & Central Asia,High income,LP.LPI.TRAC.RK,LP.LPI.TRAC.RK,Rank,2007,13.0
AUT,Austria,Europe & Central Asia,High income,LP.LPI.TRAC.XQ,Tracking Score,Score,2007,3.96552
AUT,Austria,Europe & Central Asia,High income,LP.LPI.LOGS.RK,LP.LPI.LOGS.RK,Rank,2007,4.0
AUT,Austria,Europe & Central Asia,High income,LP.LPI.LOGS.XQ,Logistics Quality Score,Score,2007,4.13333
